iter	Accuracy	Logloss
2053	0.8597929249	0.3054727075
2054	0.8599367271	0.3054216439
2055	0.8600805292	0.3053858732
2056	0.8599367271	0.3053484896
2057	0.8599367271	0.3053214056
2058	0.8599367271	0.3052869867
2059	0.8596491228	0.3052381833
2060	0.8596491228	0.305216048
2061	0.8596491228	0.3051916014
2062	0.8597929249	0.3051644032
2063	0.8596491228	0.3051339437
2064	0.8596491228	0.305113142
2065	0.8596491228	0.3050652252
2066	0.8596491228	0.3050396033
2067	0.8596491228	0.3050056579
2068	0.8595053207	0.3049704835
2069	0.8595053207	0.3049205285
2070	0.8595053207	0.3048970055
2071	0.8595053207	0.3048606301
2072	0.8595053207	0.3048174554
2073	0.8595053207	0.3047930776
2074	0.8596491228	0.30477021
2075	0.8597929249	0.3047326044
2076	0.8599367271	0.3046987789
2077	0.8599367271	0.3046621222
2078	0.8599367271	0.3046290825
2079	0.8597929249	0.304583398
2080	0.8597929249	0.3045675796
2081	0.8597929249	0.3045089941
2082	0.8597929249	0.3044804155
2083	0.8597929249	0.304456366
2084	0.8597929249	0.3044181083
2085	0.8597929249	0.3043872494
2086	0.8597929249	0.3043175274
2087	0.8597929249	0.304290242
2088	0.8597929249	0.304251141
2089	0.8597929249	0.3042278152
2090	0.8597929249	0.3042116097
2091	0.8599367271	0.3041569294
2092	0.8599367271	0.3041016499
2093	0.8600805292	0.304060566
2094	0.8602243313	0.304021375
2095	0.8602243313	0.3039917117
2096	0.8600805292	0.303957114
2097	0.8600805292	0.3039188692
2098	0.8602243313	0.303869463
2099	0.8603681334	0.3038303089
2100	0.8602243313	0.3038024401
2101	0.8602243313	0.303776128
2102	0.8605119356	0.3037388251
2103	0.8606557377	0.303712454
2104	0.8606557377	0.3036583833
2105	0.8607995398	0.3036199667
2106	0.8607995398	0.3035962203
2107	0.8607995398	0.3035478577
2108	0.8607995398	0.3035337221
2109	0.8607995398	0.3035038867
2110	0.8607995398	0.3034696659
2111	0.8607995398	0.3034396224
2112	0.8605119356	0.3034005491
2113	0.8606557377	0.3033476172
2114	0.8605119356	0.3033202601
2115	0.8602243313	0.3032941741
2116	0.8602243313	0.303261191
2117	0.8600805292	0.3032043541
2118	0.8600805292	0.3031761239
2119	0.8605119356	0.303136992
2120	0.8603681334	0.3030996502
2121	0.8603681334	0.3030787811
2122	0.8602243313	0.3030516692
2123	0.8603681334	0.3030048298
2124	0.8603681334	0.3029764983
2125	0.8603681334	0.3029446629
2126	0.8602243313	0.302929061
2127	0.8602243313	0.3029020659
2128	0.8603681334	0.3028630549
2129	0.8602243313	0.3028465633
2130	0.8603681334	0.3028215874
2131	0.8603681334	0.3028084554
2132	0.8603681334	0.302771087
2133	0.8603681334	0.3027097354
2134	0.8603681334	0.3026760093
2135	0.8603681334	0.3026568503
2136	0.8603681334	0.3026403564
2137	0.8602243313	0.302610865
2138	0.8605119356	0.3025726116
2139	0.8605119356	0.3025311316
2140	0.8606557377	0.3025080131
2141	0.8607995398	0.3024414445
2142	0.8606557377	0.3024088672
2143	0.8607995398	0.3023776799
2144	0.8607995398	0.3023610599
2145	0.8607995398	0.3023367466
2146	0.8607995398	0.3023187008
2147	0.8607995398	0.3022770466
2148	0.860943342	0.302244706
2149	0.860943342	0.3022032639
2150	0.8610871441	0.3021646792
2151	0.860943342	0.3021182398
2152	0.8610871441	0.302087556
2153	0.8612309462	0.3020543047
2154	0.8610871441	0.3020187099
2155	0.8612309462	0.3019885948
2156	0.8613747483	0.301948776
2157	0.8612309462	0.301932156
2158	0.8613747483	0.3019071104
2159	0.8613747483	0.3018770327
2160	0.8612309462	0.3018405493
2161	0.8612309462	0.3018232418
2162	0.8612309462	0.3017978997
2163	0.8612309462	0.3017608937
2164	0.8612309462	0.3017243468
2165	0.8613747483	0.3016973233
2166	0.8612309462	0.3016528487
2167	0.8613747483	0.3016274456
2168	0.8612309462	0.3015838452
2169	0.8610871441	0.3015596663
2170	0.860943342	0.3015174117
2171	0.860943342	0.3014580672
2172	0.860943342	0.3014286807
2173	0.8610871441	0.3013821947
2174	0.8610871441	0.3013490544
2175	0.8610871441	0.3013201545
2176	0.8610871441	0.3012925146
2177	0.8610871441	0.3012682625
2178	0.8610871441	0.3012249889
2179	0.8610871441	0.3011984811
2180	0.8610871441	0.3011627326
2181	0.8612309462	0.3011357329
2182	0.8613747483	0.3010977532
2183	0.8613747483	0.3010655285
2184	0.8613747483	0.3010222589
2185	0.8612309462	0.3009912371
2186	0.8613747483	0.3009730087
2187	0.8613747483	0.3009367978
2188	0.8612309462	0.3009052851
2189	0.8612309462	0.3008749682
2190	0.8612309462	0.3008470093
2191	0.8613747483	0.3008203226
2192	0.8615185505	0.3007904677
2193	0.8615185505	0.3007606705
2194	0.8613747483	0.3007320371
2195	0.8613747483	0.3007008837
2196	0.8615185505	0.3006775591
2197	0.8612309462	0.3006492871
2198	0.8615185505	0.3006126468
2199	0.8615185505	0.3005709892
2200	0.8616623526	0.3005534675
2201	0.8616623526	0.3005205107
2202	0.8618061547	0.3004878492
2203	0.8618061547	0.30045842
2204	0.8615185505	0.3003999112
2205	0.8616623526	0.3003736942
2206	0.8615185505	0.3003326941
2207	0.8618061547	0.3002932728
2208	0.8618061547	0.300265701
2209	0.8618061547	0.3002336081
2210	0.8618061547	0.300191309
2211	0.8619499569	0.3001679165
2212	0.8619499569	0.3001475951
2213	0.862093759	0.3001073867
2214	0.862093759	0.3000768523
2215	0.862093759	0.3000453262
2216	0.862093759	0.3000089289
2217	0.8619499569	0.2999937473
2218	0.8619499569	0.2999590212
2219	0.862093759	0.2999332671
2220	0.8622375611	0.2998966862
2221	0.8623813632	0.2998586821
2222	0.8623813632	0.299840537
2223	0.8623813632	0.2997913987
2224	0.8623813632	0.2997692968
2225	0.8623813632	0.2997207485
2226	0.8623813632	0.2996659751
2227	0.8623813632	0.2996392178
2228	0.8623813632	0.2996183788
2229	0.8623813632	0.2995831211
2230	0.8625251654	0.2995318814
2231	0.8623813632	0.2994891702
2232	0.8623813632	0.2994556149
2233	0.8623813632	0.29941559
2234	0.8623813632	0.2993837072
2235	0.8623813632	0.2993564527
2236	0.8625251654	0.2993222062
2237	0.8625251654	0.2992753984
2238	0.8625251654	0.2992507696
2239	0.8626689675	0.2992172306
2240	0.8626689675	0.2991793535
2241	0.8626689675	0.2991429826
2242	0.8626689675	0.2990934575
2243	0.8626689675	0.2990326248
2244	0.8628127696	0.2989963447
2245	0.8628127696	0.2989571764
